Id,Target
015220_002,1
007762_001,0
002869_003,2
027838_007,6
005680_001,0
005356_001,0
008865_008,7
017224_001,0
008690_002,1
029742_006,5
002315_001,0
032108_005,4
036206_001,0
010649_006,5
037216_003,2
035174_002,1
011495_002,1
034404_009,8
028321_006,5
016450_006,5
038071_001,0
026373_003,2
038835_001,0
006126_007,6
011258_006,5
002155_002,1
015966_003,2
017058_001,0
017846_001,0
014935_005,4
004924_004,3
035416_002,1
029948_007,6
034856_001,0
020627_002,1
036198_002,1
019728_002,1
002238_004,3
028030_001,0
003054_007,6
034490_006,5
028436_002,1
026352_003,2
022161_002,1
028988_008,7
037857_002,1
022297_001,0
012604_001,0
008173_003,2
038166_001,0
005336_006,5
008832_001,0
016573_004,3
020514_008,7
029273_001,0
038502_008,7
026484_008,7
021493_002,1
012159_004,3
008528_003,2
007543_002,1
022544_008,7
034176_002,1
037909_006,5
034365_008,7
025634_001,0
027848_008,7
038288_006,5
038953_009,8
004115_003,2
007331_005,4
017974_009,8
030103_006,5
012170_001,0
035565_005,4
001551_001,0
020285_003,2
031358_001,0
023294_008,7
039170_003,2
020863_007,6
016704_001,0
010802_007,6
013832_002,1
021734_007,6
015916_008,7
023572_006,5
005858_001,0
011523_006,5
008859_007,6
000703_001,0
007851_007,6
015789_001,0
018236_009,8
013810_006,5
003327_001,0
029106_001,0
029417_007,6
022216_002,1
011359_001,0
037812_001,0
019470_007,6
011558_003,2
030570_006,5
026158_001,0
017158_001,0
029127_001,0
033760_006,5
036105_001,0
002988_001,0
011257_001,0
000394_001,0
025373_009,8
039253_009,8
021644_006,5
015225_001,0
028463_001,0
019134_009,8
001568_004,3
002235_002,1
020699_001,0
035037_001,0
035529_006,5
021288_004,3
032263_001,0
036843_006,5
031465_006,5
019264_001,0
015686_003,2
021721_002,1
007227_002,1
006425_003,2
032782_009,8
038274_004,3
038747_006,5
030819_007,6
019297_002,1
019362_003,2
031167_009,8
025123_001,0
003592_007,6
030910_001,0
003458_002,1
030115_001,0
024184_005,4
006477_002,1
026374_003,2
034992_001,0
007165_007,6
036762_005,4
012722_004,3
005978_002,1
037673_003,2
032886_008,7
000695_007,6
038266_002,1
015216_003,2
032071_001,0
013615_001,0
031758_002,1
003025_003,2
035434_005,4
011796_002,1
013506_001,0
017745_001,0
025887_004,3
016516_003,2
011941_009,8
028715_002,1
019063_005,4
028752_001,0
033529_002,1
027690_001,0
035806_001,0
009194_009,8
004723_002,1
017418_001,0
001996_007,6
011942_006,5
033167_008,7
014943_004,3
028977_006,5
014456_002,1
001292_008,7
012504_008,7
031669_001,0
011857_008,7
009501_001,0
022224_002,1
022589_002,1
034938_002,1
038331_001,0
016239_003,2
036911_002,1
035402_007,6
030699_003,2
003774_006,5
000778_002,1
008362_008,7
025953_002,1
029228_001,0
030172_001,0
005061_002,1
005022_003,2
005622_006,5
003659_004,3
014233_002,1
002140_009,8
016900_002,1
003429_001,0
036952_001,0
032256_006,5
013429_008,7
031866_001,0
013588_006,5
027313_001,0
015440_003,2
028711_006,5
021189_003,2
022517_006,5
036561_004,3
017671_004,3
019894_002,1
038080_005,4
003917_003,2
021631_001,0
001774_001,0
025025_001,0
000967_003,2
009680_007,6
001581_009,8
002604_001,0
000287_001,0
021490_001,0
030334_009,8
033221_005,4
000371_008,7
031635_001,0
024724_007,6
031524_007,6
013044_003,2
038936_007,6
015859_003,2
007298_002,1
036510_003,2
005482_001,0
034378_005,4
022322_005,4
033064_002,1
017892_009,8
007195_005,4
021743_001,0
001882_006,5
001695_003,2
027994_005,4
001561_006,5
029365_002,1
026609_002,1
021892_006,5
036616_006,5
005694_001,0
000042_005,4
030996_002,1
019145_002,1
002129_001,0
029165_002,1
029516_006,5
017957_001,0
039584_005,4
024207_005,4
020051_006,5
029245_001,0
010782_002,1
031400_006,5
029486_007,6
012505_007,6
016292_007,6
011663_009,8
019488_009,8
039973_009,8
027625_008,7
015192_006,5
000417_008,7
006611_006,5
022774_009,8
032215_006,5
029411_007,6
017520_009,8
036037_007,6
004690_004,3
004725_009,8
010575_001,0
027911_001,0
015035_001,0
004804_009,8
016509_006,5
006135_008,7
031457_005,4
015417_007,6
022600_007,6
014651_002,1
000807_008,7
038443_003,2
024765_001,0
014936_009,8
020876_007,6
014667_001,0
033451_001,0
034648_001,0
022654_002,1
024221_009,8
010739_006,5
038931_006,5
025687_009,8
024786_001,0
032131_006,5
020851_002,1
035823_002,1
010919_003,2
031313_002,1
039708_005,4
017411_007,6
000781_001,0
002791_004,3
006923_001,0
003413_003,2
017970_006,5
022804_006,5
025781_004,3
016571_005,4
009190_003,2
019388_007,6
004272_005,4
006597_002,1
004719_002,1
025489_002,1
011687_001,0
013534_001,0
026872_004,3
011515_001,0
014908_001,0
008668_007,6
006809_001,0
037756_008,7
